Country;Year;Value
Austria;1990;10.81677704
Austria;1991;10.08830022
Austria;1992;11.01545254
Austria;1993;10.97130243
Austria;1994;10.11037528
Austria;1995;11.43487859
Austria;1996;11.96467991
Austria;1997;9.646799117
Austria;1998;8.763796909
Austria;1999;7.240618102
Austria;2000;6.732891832
Austria;2001;6.46799117
Austria;2002;6.313465784
Austria;2003;7.01986755
Austria;2004;7.350993377
Austria;2005;8.322295806
Austria;2006;9.116997792
Austria;2007;9.426048565
Austria;2008;10.46357616
Austria;2009;15.34216336
Austria;2010;14.76821192
Austria;2011;18.36644592
Austria;2012;18.49889625
Austria;2013;19.02869757
Austria;2014;19.05077263
Austria;2015;16.42384106
Austria;2016;12.45033113
Austria;2017;13.73068433
Austria;2018;14.63576159
Cyprus;1990;6.247240618
Cyprus;1991;6.181015453
Cyprus;1992;6.335540839
Cyprus;1993;5.739514349
Cyprus;1994;7.01986755
Cyprus;1995;9.40397351
Cyprus;1996;9.116997792
Cyprus;1997;8.918322296
Cyprus;1998;10.17660044
Cyprus;1999;9.690949227
Cyprus;2000;7.902869757
Cyprus;2001;7.902869757
Cyprus;2002;8.940397351
Cyprus;2003;10.86092715
Cyprus;2004;11.54525386
Cyprus;2005;11.65562914
Cyprus;2006;11.78807947
Cyprus;2007;12.71523179
Cyprus;2008;12.51655629
Cyprus;2009;12.20750552
Cyprus;2010;11.50110375
Cyprus;2011;13.37748344
Cyprus;2012;14.0397351
Cyprus;2013;14.28256071
Cyprus;2014;14.30463576
Cyprus;2015;11.69977925
Cyprus;2016;11.69977925
Cyprus;2017;12.14128035
Cyprus;2018;12.78145695
Denmark;1990;8.410596026
Denmark;1991;8.101545254
Denmark;1992;8.366445916
Denmark;1993;7.682119205
Denmark;1994;9.823399558
Denmark;1995;12.29580574
Denmark;1996;10.61810155
Denmark;1997;10.94922737
Denmark;1998;10.86092715
Denmark;1999;8.675496689
Denmark;2000;7.61589404
Denmark;2001;7.041942605
Denmark;2002;6.821192053
Denmark;2003;7.880794702
Denmark;2004;8.741721854
Denmark;2005;9.44812362
Denmark;2006;9.779249448
Denmark;2007;10.6401766
Denmark;2008;11.9205298
Denmark;2009;11.67770419
Denmark;2010;12.00883002
Denmark;2011;15.27593819
Denmark;2012;14.83443709
Denmark;2013;14.0397351
Denmark;2014;14.19426049
Denmark;2015;12.91390728
Denmark;2016;10.90507726
Denmark;2017;11.10375276
Denmark;2018;11.69977925
Finland;1990;6.578366446
Finland;1991;6.004415011
Finland;1992;5.430463576
Finland;1993;4.282560706
Finland;1994;6.026490066
Finland;1995;8.763796909
Finland;1996;7.10816777
Finland;1997;7.726269316
Finland;1998;7.549668874
Finland;1999;5.739514349
Finland;2000;5.055187638
Finland;2001;4.370860927
Finland;2002;4.061810155
Finland;2003;4.701986755
Finland;2004;5.165562914
Finland;2005;6.269315673
Finland;2006;6.490066225
Finland;2007;7.174392936
Finland;2008;8.21192053
Finland;2009;7.748344371
Finland;2010;8.145695364
Finland;2011;11.83222958
Finland;2012;10.59602649
Finland;2013;9.470198675
Finland;2014;9.514348786
Finland;2015;8.609271523
Finland;2016;8.101545254
Finland;2017;9.050772627
Finland;2018;9.3598234
France;1990;8.233995585
France;1991;7.571743929
France;1992;5.099337748
France;1993;4.481236203
France;1994;5.298013245
France;1995;8.145695364
France;1996;7.284768212
France;1997;6.092715232
France;1998;6.136865342
France;1999;5.629139073
France;2000;4.746136865
France;2001;4.392935982
France;2002;4.569536424
France;2003;5.518763797
France;2004;6.004415011
France;2005;6.070640177
France;2006;6.556291391
France;2007;7.527593819
France;2008;8.520971302
France;2009;8.366445916
France;2010;7.991169978
France;2011;9.116997792
France;2012;8.653421634
France;2013;8.653421634
France;2014;8.322295806
France;2015;6.865342163
France;2016;7.196467991
France;2017;7.505518764
France;2018;8.123620309
Germany;1990;8.80794702
Germany;1991;8.476821192
Germany;1992;8.830022075
Germany;1993;7.991169978
Germany;1994;9.227373068
Germany;1995;11.0816777
Germany;1996;9.205298013
Germany;1997;8.896247241
Germany;1998;8.918322296
Germany;1999;7.549668874
Germany;2000;6.247240618
Germany;2001;5.805739514
Germany;2002;6.026490066
Germany;2003;7.01986755
Germany;2004;7.350993377
Germany;2005;8.962472406
Germany;2006;9.558498896
Germany;2007;10.35320088
Germany;2008;11.32450331
Germany;2009;10.48565121
Germany;2010;10.50772627
Germany;2011;11.25827815
Germany;2012;10.46357616
Germany;2013;12.47240618
Germany;2014;12.62693157
Germany;2015;11.43487859
