Country;Year;Value
Angola;1990;50.345
Angola;1991;79.331
Angola;1992;77.52
Angola;1993;32.608
Angola;1994;76.802
Angola;1995;62.109
Angola;1996;70.925
Angola;1997;64.33
Angola;1998;85.344
Angola;1999;54.939
Angola;2000;49.785
Angola;2001;20.69
Angola;2002;56.64
Angola;2003;38.013
Angola;2004;14.77
Angola;2005;24.965
Angola;2006;35.095
Angola;2007;35.631
Angola;2008;37.61
Angola;2009;13.42
Angola;2010;34.97
Angola;2011;28.715
Angola;2012;32.79
Angola;2013;34.935
Angola;2014;39.405
Angola;2015;40.515
Angola;2016;44.83
Angola;2017;35.006
Angola;2018;40.3874
Bolivia (Plurinational State of);1990;122.777
Bolivia (Plurinational State of);1991;103.536
Bolivia (Plurinational State of);1992;120.235
Bolivia (Plurinational State of);1993;50.823
Bolivia (Plurinational State of);1994;116.944
Bolivia (Plurinational State of);1995;142.485
Bolivia (Plurinational State of);1996;124.579
Bolivia (Plurinational State of);1997;140.719
Bolivia (Plurinational State of);1998;137.985
Bolivia (Plurinational State of);1999;157.702
Bolivia (Plurinational State of);2000;147.604
Bolivia (Plurinational State of);2001;94.016
Bolivia (Plurinational State of);2002;126.668
Bolivia (Plurinational State of);2003;103.323
Bolivia (Plurinational State of);2004;154.8071
Bolivia (Plurinational State of);2005;109.9692
Bolivia (Plurinational State of);2006;146.4297
Bolivia (Plurinational State of);2007;116.0292
Bolivia (Plurinational State of);2008;120.4186
Bolivia (Plurinational State of);2009;128.4751
Bolivia (Plurinational State of);2010;117.2249
Bolivia (Plurinational State of);2011;131.8354
Bolivia (Plurinational State of);2012;105.2812
Bolivia (Plurinational State of);2013;119.9122
Bolivia (Plurinational State of);2014;99.8766
Bolivia (Plurinational State of);2015;84.2191
Bolivia (Plurinational State of);2016;77.9835
Bolivia (Plurinational State of);2017;83.8112
Bolivia (Plurinational State of);2018;82.5687
Brazil;1990;27285.6286
Brazil;1991;27293.4934
Brazil;1992;34603.3542
Brazil;1993;28166.9786
Brazil;1994;28192.047
Brazil;1995;18060.2022
Brazil;1996;29196.743
Brazil;1997;26148.004
Brazil;1998;36760.8533
Brazil;1999;47577.8065
Brazil;2000;31310.353
Brazil;2001;31365.0955
Brazil;2002;48351.634
Brazil;2003;28873.4093
Brazil;2004;39281.1457
Brazil;2005;32932.9797
Brazil;2006;48431.7338
Brazil;2007;38911.4571
Brazil;2008;51490.5177
Brazil;2009;43976.812
Brazil;2010;55428.4102
Brazil;2011;48591.8289
Brazil;2012;55418.0012
Brazil;2013;54688.9664
Brazil;2014;53304.7669
Brazil;2015;52870.5876
Brazil;2016;56788.1784
Brazil;2017;52739.8635
Brazil;2018;62924.8836
Burundi;1990;487.393
Burundi;1991;667.199
Burundi;1992;620.238
Burundi;1993;393.354
Burundi;1994;664.143
Burundi;1995;433.98
Burundi;1996;400.969
Burundi;1997;249.785
Burundi;1998;491.992
Burundi;1999;350.55
Burundi;2000;487.46
Burundi;2001;143.982
Burundi;2002;453.732
Burundi;2003;337.858
Burundi;2004;437.036
Burundi;2005;103.315
Burundi;2006;498.5
Burundi;2007;132.856
Burundi;2008;411.7822
Burundi;2009;111.613
Burundi;2010;352.9776
Burundi;2011;204.1328
Burundi;2012;405.9615
Burundi;2013;163.2177
Burundi;2014;247.55
Burundi;2015;274.1017
Burundi;2016;248.7933
Burundi;2017;202.1079
Burundi;2018;178.4206
Ecuador;1990;1503.815
Ecuador;1991;2123.824
Ecuador;1992;1185.48
Ecuador;1993;2069.007
Ecuador;1994;2375.766
Ecuador;1995;1888.233
Ecuador;1996;1992.914
Ecuador;1997;1190.663
Ecuador;1998;1205.968
Ecuador;1999;1197.6832
Ecuador;2000;853.817
Ecuador;2001;792.847
Ecuador;2002;582.224
Ecuador;2003;640.79
Ecuador;2004;780.435
Ecuador;2005;935.3007
Ecuador;2006;1034.5199
Ecuador;2007;950.4028
Ecuador;2008;770.6473
Ecuador;2009;813.2849
Ecuador;2010;853.9798
Ecuador;2011;825.4144
Ecuador;2012;828.1024
Ecuador;2013;665.545
Ecuador;2014;644.0112
Ecuador;2015;644.4926
Ecuador;2016;644.8845
Ecuador;2017;623.5744
Ecuador;2018;601.0001
Indonesia;1990;7441.383
Indonesia;1991;8493.196
Indonesia;1992;5569.478
Indonesia;1993;6743.288
Indonesia;1994;5367.878
Indonesia;1995;4573.429
Indonesia;1996;8220.584
Indonesia;1997;7620.778
Indonesia;1998;7295.955
Indonesia;1999;6557.0662
Indonesia;2000;6987.2397
Indonesia;2001;6833.356
Indonesia;2002;6731.376
Indonesia;2003;6404.076
Indonesia;2004;7536.371
Indonesia;2005;9158.9594
Indonesia;2006;7482.6737
Indonesia;2007;7776.5557
Indonesia;2008;9612.3466
Indonesia;2009;11379.6699
Indonesia;2010;9128.5118
Indonesia;2011;6888.9233
Indonesia;2012;13070.0386
Indonesia;2013;12900.9493
Indonesia;2014;10946.2773
Indonesia;2015;12585.4751
Indonesia;2016;11541.0266
Indonesia;2017;10852.3153
Indonesia;2018;9417.5942
Madagascar;1990;982.447
Madagascar;1991;932.513
Madagascar;1992;1121.684
Madagascar;1993;441.859
Madagascar;1994;641.372
Madagascar;1995;785.009
Madagascar;1996;849.008
Madagascar;1997;623.804
Madagascar;1998;991.799
Madagascar;1999;427.317
Madagascar;2000;362.1618
Madagascar;2001;147.236
Madagascar;2002;445.455
Madagascar;2003;434.658
Madagascar;2004;521.66
Madagascar;2005;599.149
Madagascar;2006;586.51
Madagascar;2007;614.1661
Madagascar;2008;727.6884
Madagascar;2009;456.9613
Madagascar;2010;529.7233
Madagascar;2011;584.8528
Madagascar;2012;499.7094
Madagascar;2013;584.4758
Madagascar;2014;501.4544
Madagascar;2015;425.2061
Madagascar;2016;420.8227
Madagascar;2017;408.7848
Madagascar;2018;396.3764
Malawi;1990;104.628
Malawi;1991;124.286
Malawi;1992;137.161
Malawi;1993;62.111
Malawi;1994;84.112
Malawi;1995;91.235
Malawi;1996;48.65
Malawi;1997;60.82
Malawi;1998;64.321
Malawi;1999;59
Malawi;2000;63.138
Malawi;2001;60.39
